LAM,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,SHSU,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,Players,Chat GPT Team,Team,Location,Opponent,Opponent Conference,Conference Game,Power,Top 25,STR/BENCH,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Points Oregon,Points Troy
Idaho St.,,,,,,,,,,,Idaho St.,,,,,,,,,,0,,Idaho St. - 12.296,NO,Big Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,,,,,,,,,,,Illinois,ILL,,,,,,,,,0,,Illinois - 68.631,YES,Big Ten,"Champaign, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois Chicago,,,,,,,,,,,Illinois Chicago,UIC,,,,,,,,,0,,Illinois Chicago - 9.077,NO,Missouri Valley,"Chicago, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois St.,,,,,,,,,,,Illinois St.,ILST,,,,,,,,,0,,Illinois St. - 6.724,NO,Missouri Valley,"Normal, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incarnate Word,,,,,,,,,,,Incarnate Word,UIW,,,,,,,,,0,,Incarnate Word - 6.436,NO,Southland,"San Antonio, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,,,,,,,,,,,Indiana,IU,,,,,,,,,1,,Indiana - 24.765,NO,Big Ten,"Bloomington, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana St.,,,,,,,,,,,Indiana St.,INST,,,,,,,,,0,,Indiana St. - 33.401,NO,Missouri Valley,"Terre Haute, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iona,,,,,,,,,,,Iona,IONA,,,,,,,,,0,,Iona - 35.84,NO,MAAC,"New Rochelle, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,,,,,,,,,,,Iowa,IOWA,,,,,,,,,0,,Iowa - 38.66,NO,Big Ten,"Iowa City, IA","Des Moines, IA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa St.,,,,,,,,,,,Iowa St.,ISU,,,,,,,,,1,,Iowa St. - 43.735,YES,Big 12,"Ames, IA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IU Indy,,,,,,,,,,,IU Indy,IUIN,,,,,,,,,0,,IU Indy - 4.211,NO,Horizon,"Indianapolis, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson St.,,,,,,,,,,,Jackson St.,,,,,,,,,,0,,Jackson St. - 10.194,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville,,,,,,,,,,,Jacksonville,JAX,,,,,,,,,0,,Jacksonville - 14.844,NO,ASUN,"Jacksonville, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville St.,,,,,,,,,,,Jacksonville St.,JXST,,,,,,,,,0,,Jacksonville St. - 15.992,NO,CUSA,"Jacksonville, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Madison,,,,,,,,,,,James Madison,JMU,,,,,,,,,0,,James Madison - 39.084,YES,Sun Belt,"Harrisonburg, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,,,,,,,,,,,Kansas,KU,,,,,,,,,1,,Kansas - 63.89,YES,Big 12,"Lawrence, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas St.,,,,,,,,,,,Kansas St.,KSU,,,,,,,,,0,,Kansas St. - 18.929,NO,Big 12,"Manhattan, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennesaw St.,,,,,,,,,,,Kennesaw St.,KENN,,,,,,,,,0,,Kennesaw St. - 23.359,NO,CUSA,"Kennesaw, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent St.,,,,,,,,,,,Kent St.,KENT,,,,,,,,,0,,Kent St. - 34.294,NO,MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,,,,,,,,,,,Kentucky,UK,,,,,,,,,1,,Kentucky - 36.035,YES,SEC,"Lexington, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Salle,,,,,,,,,,,La Salle,LAS,,,,,,,,,0,,La Salle - 13.5,NO,A10,"Philadelphia, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lafayette,,,,,,,,,,,Lafayette,,,,,,,,,,0,,Lafayette - 9.081,NO,Patriot,"Easton, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar,,,,,,,,,,,Lamar,,,,,,,,,,0,,Lamar - 9.807,NO,Southland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Moyne,,,,,,,,,,,Le Moyne,,,,,,,,,,0,,Le Moyne - 13.022,NO,NEC,"Syracuse, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lehigh,,,,,,,,,,,Lehigh,,,,,,,,,,0,,Lehigh - 13.451,NO,Patriot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty,,,,,,,,,,,Liberty,LIB,,,,,,,,,0,,Liberty - 35.501,NO,CUSA,"Lynchburg, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindenwood,,,,,,,,,,,Lindenwood,,,,,,,,,,0,,Lindenwood - 10.95,NO,Ohio Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lipscomb,,,,,,,,,,,Lipscomb,LIP,,,,,,,,,0,,Lipscomb - 15.465,NO,ASUN,"Nashville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Rock,,,,,,,,,,,Little Rock,LR,,,,,,,,,0,,Little Rock - 20.249,NO,Ohio Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIU,,,,,,,,,,,LIU,,,,,,,,,,0,,LIU - 7.111,NO,NEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Beach St.,,,,,,,,,,,Long Beach St.,LBSU,,,,,,,,,0,,Long Beach St. - 32.877,YES,Big West,"Long Beach, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longwood,,,,,,,,,,,Longwood,LONG,,,,,,,,,0,,Longwood - 37.922,YES,Big South,"Farmville, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,,,,,,,,,,,Louisiana,,,,,,,,,,0,,Louisiana - 25.538,NO,Sun Belt,"Lafayette, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,,,,,,,,,,,Louisiana Monroe,,,,,,,,,,0,,Louisiana Monroe - 9.139,NO,Sun Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Tech,,,,,,,,,,,Louisiana Tech,LT,,,,,,,,,0,,Louisiana Tech - 16.604,NO,CUSA,"Ruston, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,,,,,,,,,,,Louisville,LOU,,,,,,,,,0,,Louisville - -12.298,NO,ACC,"Louisville, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loyola Chicago,,,,,,,,,,,Loyola Chicago,LUC,,,,,,,,,0,,Loyola Chicago - 41.072,NO,A10,"Chicago, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loyola Marymount,,,,,,,,,,,Loyola Marymount,,,,,,,,,,0,,Loyola Marymount - 11.192,NO,WCC,"Los Angeles, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loyola MD,,,,,,,,,,,Loyola MD,L-MD,,,,,,,,,0,,Loyola MD - 8.86,NO,Patriot,"Baltimore, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSU,,,,,,,,,,,LSU,LSU,,,,,,,,,0,,LSU - 28.744,NO,SEC,"Baton Rouge, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,,,,,,,,,,,Maine,,,,,,,,,,0,,Maine - 7.106,NO,American East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manhattan,,,,,,,,,,,Manhattan,MAN,,,,,,,,,0,,Manhattan - 5.552,NO,MAAC,"Riverdale, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marist,,,,,,,,,,,Marist,MRST,,,,,,,,,0,,Marist - 15.655,NO,MAAC,"Poughkeepsie, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquette,,,,,,,,,,,Marquette,MARQ,,,,,,,,,1,,Marquette - 48.524,YES,Big East,"Milwaukee, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall,,,,,,,,,,,Marshall,MRSH,,,,,,,,,0,,Marshall - 14.659,NO,Sun Belt,"Huntington, WV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,,,,,,,,,,,Maryland,MD,,,,,,,,,0,,Maryland - 28.901,NO,Big Ten,"College Park, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland Eastern Shore,,,,,,,,,,,Maryland Eastern Shore,,,,,,,,,,0,,Maryland Eastern Shore - 9.637,NO,MEAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,,,,,,,,,,,Massachusetts,MASS,,,,,,,,,0,,Massachusetts - 9.804,NO,A10,"Amherst, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McNeese St.,,,,,,,,,,,McNeese St.,,,,,,,,,,0,,McNeese St. - 29.493,YES,Southland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis,,,,,,,,,,,Memphis,MEM,,,,,,,,,0,,Memphis - 43.411,NO,American,"Memphis, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercer,,,,,,,,,,,Mercer,,,,,,,,,,0,,Mercer - 12.945,NO,Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercyhurst,,,,,,,,,,,Mercyhurst,MERC,,,,,,,,,0,,Mercyhurst - 9,NO,NEC,"Erie, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrimack,,,,,,,,,,,Merrimack,,,,,,,,,,0,,Merrimack - 25.407,NO,NEC,"North Andover, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami FL,,,,,,,,,,,Miami FL,MIA,,,,,,,,,0,,Miami FL - 39.334,NO,ACC,"Coral Gables, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami OH,,,,,,,,,,,Miami OH,M-OH,,,,,,,,,0,,Miami OH - 7.856,NO,MAC,"Oxford, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,,,,,,,,,,,Michigan,MICH,,,,,,,,,0,,Michigan - 34.485,NO,Big Ten,"Ann Arbor, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan St.,,,,,,,,,,,Michigan St.,MSU,,,,,,,,,0,,Michigan St. - 75.472,YES,Big Ten,"East Lansing, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Tennessee,,,,,,,,,,,Middle Tennessee,MTSU,,,,,,,,,0,,Middle Tennessee - 19.369,NO,CUSA,"Murfreesboro, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee,,,,,,,,,,,Milwaukee,,,,,,,,,,0,,Milwaukee - 23.636,NO,Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,,,,,,,,,,,Minnesota,MINN,,,,,,,,,0,,Minnesota - 2.603,NO,Big Ten,"Minneapolis, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,,,,,,,,,,,Mississippi,MISS,,,,,,,,,1,,Mississippi - -2.457,NO,SEC,"Oxford, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi St.,,,,,,,,,,,Mississippi St.,MSST,,,,,,,,,0,,Mississippi St. - 43.159,YES,SEC,"Starkville, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi Valley St.,,,,,,,,,,,Mississippi Valley St.,,,,,,,,,,0,,Mississippi Valley St. - 3.062,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,,,,,,,,,,,Missouri,MIZ,,,,,,,,,0,,Missouri - 12.365,NO,SEC,"Columbia, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri St.,,,,,,,,,,,Missouri St.,MOST,,,,,,,,,0,,Missouri St. - 19.837,NO,Missouri Valley,"Springfield, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monmouth,,,,,,,,,,,Monmouth,,,,,,,,,,0,,Monmouth - 16.097,NO,CAA,"Trenton, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,,,,,,,,,,,Montana,,,,,,,,,,0,,Montana - 26.771,NO,Big Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana St.,,,,,,,,,,,Montana St.,MTST,,,,,,,,,0,,Montana St. - 49.273,YES,Big Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morehead St.,,,,,,,,,,,Morehead St.,,,,,,,,,,0,,Morehead St. - 44.016,YES,Ohio Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan St.,,,,,,,,,,,Morgan St.,MORG,,,,,,,,,0,,Morgan St. - 10.03,NO,MEAC,"Baltimore, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount St. Mary's,,,,,,,,,,,Mount St. Mary's,MSM,,,,,,,,,0,,Mount St. Mary's - 13.2,NO,MAAC,"Emmitsburg, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murray St.,,,,,,,,,,,Murray St.,,,,,,,,,,0,,Murray St. - 28.209,NO,Missouri Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.C. State,,,,,,,,,,,N.C. State,NCSU,,,,,,,,,0,,N.C. State - 69.682,YES,ACC,"Raleigh, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navy,,,,,,,,,,,Navy,NAVY,,,,,,,,,0,,Navy - 14.921,NO,Patriot,"Annapolis, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,,,,,,,,,,,Nebraska,NEB,,,,,,,,,0,,Nebraska - 2.659,YES,Big Ten,"Lincoln, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska Omaha,,,,,,,,,,,Nebraska Omaha,,,,,,,,,,0,,Nebraska Omaha - 10.356,NO,Summit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,,,,,,,,,,,Nevada,NEV,,,,,,,,,0,,Nevada - 32.792,YES,Mountain West,"Reno, NV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,,,,,,,,,,,New Hampshire,UNH,,,,,,,,,0,,New Hampshire - 12.977,NO,American East,"Durham, NH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Haven,,,,,,,,,,,New Haven,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,,,,,,,,,,,New Mexico,UNM,,,,,,,,,0,,New Mexico - 32.806,YES,Mountain West,"Albuquerque, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico St.,,,,,,,,,,,New Mexico St.,NMSU,,,,,,,,,0,,New Mexico St. - 23.85,NO,CUSA,"Las Cruces, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans,,,,,,,,,,,New Orleans,UNO,,,,,,,,,0,,New Orleans - 15.884,NO,Southland,"New Orleans, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niagara,,,,,,,,,,,Niagara,,,,,,,,,,0,,Niagara - 12.013,NO,MAAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholls St.,,,,,,,,,,,Nicholls St.,NICH,,,,,,,,,0,,Nicholls St. - 23.227,NO,Southland,"Thibodaux, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJIT,,,,,,,,,,,NJIT,,,,,,,,,,0,,NJIT - 8.091,NO,American East,"Newark, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk St.,,,,,,,,,,,Norfolk St.,NORF,,,,,,,,,0,,Norfolk St. - 39.633,NO,MEAC,"Norfolk, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Alabama,,,,,,,,,,,North Alabama,UNA,,,,,,,,,0,,North Alabama - 14.617,NO,ASUN,"Florence, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,,,,,,,,,,,North Carolina,UNC,,,,,,,,,1,,North Carolina - 56.898,YES,ACC,"Chapel Hill, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina A&T,,,,,,,,,,,North Carolina A&T,,,,,,,,,,0,,North Carolina A&T - 4.181,NO,CAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina Central,,,,,,,,,,,North Carolina Central,NCCU,,,,,,,,,0,,North Carolina Central - 16.988,NO,MEAC,"Durham, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,,,,,,,,,,,North Dakota,UND,,,,,,,,,0,,North Dakota - 9.044,NO,Summit,"Grand Forks, ND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota St.,,,,,,,,,,,North Dakota St.,NDSU,,,,,,,,,0,,North Dakota St. - 18.69,NO,Summit,"Fargo, ND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Florida,,,,,,,,,,,North Florida,UNF,,,,,,,,,0,,North Florida - 9.411,NO,ASUN,"UNF Arena, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Texas,,,,,,,,,,,North Texas,UNT,,,,,,,,,0,,North Texas - 46.553,NO,American,"Denton, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeastern,,,,,,,,,,,Northeastern,NE,,,,,,,,,0,,Northeastern - 13.033,NO,CAA,"Boston, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Arizona,,,,,,,,,,,Northern Arizona,,,,,,,,,,0,,Northern Arizona - 11.734,NO,Big Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Colorado,,,,,,,,,,,Northern Colorado,UNCO,,,,,,,,,0,,Northern Colorado - 23.431,NO,Big Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Illinois,,,,,,,,,,,Northern Illinois,NIU,,,,,,,,,0,,Northern Illinois - 7.482,NO,MAC,"Dekalb, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Iowa,,,,,,,,,,,Northern Iowa,UNI,,,,,,,,,0,,Northern Iowa - 22.018,NO,Missouri Valley,"Cedar Falls, IA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Kentucky,,,,,,,,,,,Northern Kentucky,NKU,,,,,,,,,0,,Northern Kentucky - 29.783,NO,Horizon,"Highland Heights, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern,,,,,,,,,,,Northwestern,NU,,,,,,,,,0,,Northwestern - 23.846,YES,Big Ten,"Evanston, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern St.,,,,,,,,,,,Northwestern St.,,,,,,,,,,0,,Northwestern St. - 8.129,NO,Southland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,,,,,,,,,,,Notre Dame,ND,,,,,,,,,0,,Notre Dame - 3.925,NO,ACC,"South Bend, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,,,,,,,,,,,Oakland,,,,,,,,,,0,,Oakland - 34.911,YES,Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,,,,,,,,,,,Ohio,OHIO,,,,,,,,,0,,Ohio - 30.065,NO,MAC,"Athens, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio St.,,,,,,,,,,,Ohio St.,OSU,,,,,,,,,1,,Ohio St. - 39.685,NO,Big Ten,"Columbus, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,,,,,,,,,,,Oklahoma,OU,,,,,,,,,0,,Oklahoma - 21.835,NO,SEC,"Norman, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma St.,,,,,,,,,,,Oklahoma St.,OKST,,,,,,,,,0,,Oklahoma St. - 8.597,NO,Big 12,"Stillwater, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Dominion,,,,,,,,,,,Old Dominion,ODU,,,,,,,,,0,,Old Dominion - 14.997,NO,Sun Belt,"Norfolk, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oral Roberts,,,,,,,,,,,Oral Roberts,,,,,,,,,,0,,Oral Roberts - 38.148,NO,Summit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,,,,,,,,,,,Oregon,ORE,,,,,,,,,0,,Oregon - 73.223,YES,Big Ten,"Eugene, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon St.,,,,,,,,,,,Oregon St.,ORST,,,,,,,,,0,,Oregon St. - -0.282,NO,WCC,"Corvallis, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific,,,,,,,,,,,Pacific,PAC,,,,,,,,,0,,Pacific - 7.426,NO,WCC,"Stockton, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penn,,,,,,,,,,,Penn,PENN,,,,,,,,,0,,Penn - 9.286,NO,Ivy,"Philadelphia, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penn St.,,,,,,,,,,,Penn St.,PSU,,,,,,,,,0,,Penn St. - 7.895,NO,Big Ten,"University Park, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepperdine,,,,,,,,,,,Pepperdine,PEPP,,,,,,,,,0,,Pepperdine - 12.708,NO,WCC,"Malibu, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh,,,,,,,,,,,Pittsburgh,PITT,,,,,,,,,0,,Pittsburgh - 28.137,NO,ACC,"Pittsburgh, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland,,,,,,,,,,,Portland,,,,,,,,,,0,,Portland - 12.892,NO,WCC,"Portland, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland St.,,,,,,,,,,,Portland St.,PRST,,,,,,,,,0,,Portland St. - 10.258,NO,Big Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie View A&M,,,,,,,,,,,Prairie View A&M,,,,,,,,,,0,,Prairie View A&M - 11.659,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presbyterian,,,,,,,,,,,Presbyterian,,,,,,,,,,0,,Presbyterian - 13.357,NO,Big South,"Clinton, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princeton,,,,,,,,,,,Princeton,PRIN,,,,,,,,,0,,Princeton - 45.544,NO,Ivy,"Princeton, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
